id,name,buildingType,specificBuildingType,description,closedDays,openHour,closeHour,notes
28,"The Tranquil Flats","RESIDENCE","house share","Shared home",,,,""
29,"The Calm Flats","RESIDENCE","house share","Shared home",,,,""
30,"The Quiet Flats","RESIDENCE","house share","Shared home",,,,""
31,"The Bottomless Flats","RESIDENCE","house share","Shared home",,,,""
32,"The Nostalgic Flats","RESIDENCE","house share","Shared home",,,,""
33,"The Flawless Flats","RESIDENCE","house share","Shared home",,,,""
34,"The Common Flats","RESIDENCE","house share","Shared home",,,,""
35,"The Luxurious Flats","RESIDENCE","house share","Shared home",,,,""
36,"The Illuminated Flats","RESIDENCE","house share","Shared home",,,,""
37,"The Refined Flats","RESIDENCE","house share","Shared home",,,,""
38,"The Graceful Flats","RESIDENCE","house share","Shared home",,,,""
39,"The Golden Flats","RESIDENCE","house share","Shared home",,,,""
40,"The Glorious Heifer","TAVERN","casino","Casino","[]",11,1,""
41,"The Glamorous Flats","RESIDENCE","house share","Shared home",,,,""
42,"The Soothing Flats","RESIDENCE","house share","Shared home",,,,""
43,"The Comely Flats","RESIDENCE","house share","Shared home",,,,""
44,"The Splendid Flats","RESIDENCE","house share","Shared home",,,,""
45,"The Miniature Flats","RESIDENCE","house share","Shared home",,,,""
46,"The Alluring Flats","RESIDENCE","house share","Shared home",,,,""
47,"The Honored Flats","RESIDENCE","house share","Shared home",,,,""
48,"Quill Scribing","ARTISAN","scribe","Average quality scribe","[6,7]",9,17,""
49,"The Wigglepatch Barber","ARTISAN","barber","Average quality barber","[6,7]",9,17,""
50,"The Distinguished Flats","RESIDENCE","house share","Shared home",,,,""
51,"Trim Cutting","ARTISAN","barber","Poor quality barber","[6,7]",9,17,""
52,"The Silvercrag Residence","RESIDENCE","hidden slavers den","Hidden slavers den",,,,""
53,"The Radiant Flats","RESIDENCE","house share","Shared home",,,,""
54,"The Auvrealylth Residence","RESIDENCE","hidden slavers den","Hidden slavers den",,,,""
55,"The Jarzemdrax Residence","RESIDENCE","hidden slavers den","Hidden slavers den",,,,""
56,"The Respected Flats","RESIDENCE","house share","Shared home",,,,""
57,"The Pristine Flats","RESIDENCE","house share","Shared home",,,,""
58,"The Wrinkled Flats","RESIDENCE","house share","Shared home",,,,""
59,"The Radiant Flats","RESIDENCE","house share","Shared home",,,,""
60,"The Zircontrench Residence","RESIDENCE","hidden slavers den","Hidden slavers den",,,,""
61,"The Ornate Herbalist","ARTISAN","herbalist","Poor quality herbalist","[6,7]",9,17,""
62,"The Honorary Tanner","ARTISAN","tanner","Average quality tanner","[6,7]",9,17,""
63,"Stunning Iron","ARTISAN","blacksmith","Average quality blacksmith","[6,7]",9,17,""
64,"The Radiant Spinner","ARTISAN","spinner","Poor quality spinner of yarn","[6,7]",9,17,""
65,"The Common Flats","RESIDENCE","house share","Shared home",,,,""
66,"The Stunning Flats","RESIDENCE","house share","Shared home",,,,""
67,"The Dazzling Carder","ARTISAN","carder","Average quality carder of fibres","[6,7]",9,17,""
68,"The Exquisite Furrier","ARTISAN","furrier","Poor quality furrier","[6,7]",9,17,""
69,"The Miniature Ink Maker","ARTISAN","ink maker","Master quality ink maker","[6,7]",9,17,""
70,"The Long Lizard Launderer","ARTISAN","launderer","Average quality laundry cleaner","[6,7]",9,17,""
71,"Sacrifice Carding Co.","ARTISAN","carder","Average quality carder of fibres","[6,7]",9,17,""
72,"Slatebone's Butcher","ARTISAN","butcher","Average quality butcher","[6,7]",9,17,""
73,"The Penitent Goldsmith","ARTISAN","goldsmith","Average quality goldsmith","[6,7]",9,17,""
74,"The Engorged Flats","RESIDENCE","house share","Shared home",,,,""
75,"The Classic Flats","RESIDENCE","house share","Shared home",,,,""
76,"The Cleanly Flats","RESIDENCE","house share","Shared home",,,,""
77,"The Pristine Flats","RESIDENCE","house share","Shared home",,,,""
78,"The Enchanting Flats","RESIDENCE","house share","Shared home",,,,""
79,"The Lavish Maiden Potter","ARTISAN","potter","Average quality potter","[6,7]",9,17,""
80,"The Earth and Arrow","TAVERN","brothel","Brothel","[]",11,1,""
81,"Myrthnddare's Carder","ARTISAN","carder","Poor quality carder of fibres","[6,7]",9,17,""
82,"The Timeless Ocean Greengrocery","SHOP","greengrocer","Fruits & vegetables shop","[6,7]",9,17,""
83,"The Acclaimed Castle Spinner","ARTISAN","spinner","Average quality spinner of yarn","[6,7]",9,17,""
84,"The Educated Cobbler","ARTISAN","cobbler","Good quality cobbler - who repairs shoes.","[6,7]",9,17,""
85,"Loom Linen","SHOP","linen draper","Linen-draper","[6,7]",9,17,""
86,"The Masterful Barber","ARTISAN","barber","Average quality barber","[6,7]",9,17,""
87,"Radiant Hat","ARTISAN","furrier","Average quality furrier","[6,7]",9,17,""
88,"The Glorious Carder","ARTISAN","carder","Good quality carder of fibres","[6,7]",9,17,""
89,"The Effeminate Mountain Herbalist","ARTISAN","herbalist","Average quality herbalist","[6,7]",9,17,""
90,"The Flawless Tattoo artist","ARTISAN","tattoo artist","Good quality tattoo artist","[6,7]",9,17,""
91,"The Honored Flats","RESIDENCE","house share","Shared home",,,,""
92,"The Elaborate Carder","ARTISAN","carder","Average quality carder of fibres","[6,7]",9,17,""
93,"The Engorged Gold Tailor","ARTISAN","tailor","Poor quality tailor","[6,7]",9,17,""
94,"Quartzlore's Wickerworker","ARTISAN","wickerworker","Poor quality wickerworker","[6,7]",9,17,""
95,"The Hungry Grain Cartographer","ARTISAN","cartographer","Average quality cartographer","[6,7]",9,17,""
96,"Respected Cuffs","ARTISAN","furrier","Average quality furrier","[6,7]",9,17,""
97,"The Radiant Pantry Spinner","ARTISAN","spinner","Master quality spinner of yarn","[6,7]",9,17,""
98,"The Supine General Store","SHOP","general store","General store","[6,7]",9,17,""
99,"The Crimson Boot Stone-cutter","ARTISAN","stone cutter","Average quality stone-cutter/shaper","[6,7]",9,17,""
100,"The Sparkling Flats","RESIDENCE","house share","Shared home",,,,""
101,"Panther Spinning Co.","ARTISAN","spinner","Master quality spinner of yarn","[6,7]",9,17,""
102,"Radiant Fragrance","SHOP","cosmetics shop","Cosmetics shop","[6,7]",9,17,""
103,"Knight Scribing","ARTISAN","scribe","Poor quality scribe","[6,7]",9,17,""
104,"The Crimson Flats","RESIDENCE","house share","Shared home",,,,""
105,"The Silver Carpenter","ARTISAN","carpenter","Poor quality carpenter","[6,7]",9,17,""
106,"The Hungry Bull Bookbinder","ARTISAN","scribe","Average quality scribe","[6,7]",9,17,""
107,"The Sumptuous Chandler","ARTISAN","chandler","Chandler","[6,7]",9,17,""
108,"The Masterful Bear Used Clothes Shop","SHOP","used clothes dealer","Used clothes dealer","[6,7]",9,17,""
109,"Grandiose Thread","SHOP","fiber shop","Fiber shop","[6,7]",9,17,""
110,"Pellethelm's Weaver","ARTISAN","weaver","Great quality cloth maker","[6,7]",9,17,""
111,"The Good Shadow Bookbinder","ARTISAN","scribe","Good quality scribe","[6,7]",9,17,""
112,"The Greenheaver Glassblower","ARTISAN","glassblower","Good quality glassblower","[6,7]",9,17,""
113,"Rootes-Burrowfin's Apothecary","ARTISAN","apothecary","Good quality apothecary, selling natural herbs and remedies","[6,7]",9,17,""
114,"Dirththym's General Store","SHOP","general store","General store","[6,7]",9,17,""
115,"The Grand Maiden Leather Works","ARTISAN","leather armourer","Poor quality leather worker","[6,7]",9,17,""
116,"The Grandiose Flats","RESIDENCE","house share","Shared home",,,,""
117,"The Strong Tailor","FACTION","assassin hideout","Front for an assassin hideout",,,,""
118,"The Ornate Miller","ARTISAN","mill","Poor quality mill for grinding grain","[6,7]",9,17,""
119,"The Blissful Hound Herbalist","ARTISAN","herbalist","Average quality herbalist","[6,7]",9,17,""
120,"The Stunning Tailor","ARTISAN","tailor","Average quality tailor","[6,7]",9,17,""
121,"Jarzemissa's Carpenter","ARTISAN","carpenter","Good quality carpenter","[6,7]",9,17,""
122,"Celebrated Lager","ARTISAN","brewery","Poor quality brewery","[6,7]",9,17,""
123,"The Miniature Carder","ARTISAN","carder","Average quality carder of fibres","[6,7]",9,17,""
124,"Jolly Contraption","ARTISAN","artificer","Average quality artificer","[6,7]",9,17,""
125,"Maghand's Leather Works","ARTISAN","leather armourer","Average quality leather worker","[6,7]",9,17,""
126,"The Exquisite Chair","ARTISAN","carpenter","Poor quality carpenter","[6,7]",9,17,""
127,"The Classic Laundry","ARTISAN","launderer","Average quality laundry cleaner","[6,7]",9,17,""
128,"The Green Herbalist","ARTISAN","herbalist","Average quality herbalist","[6,7]",9,17,""
129,"The Wealthy Warrior Jeweler","ARTISAN","jeweler","Poor quality jeweler","[6,7]",9,17,""
130,"The Polished Chalice Butcher","ARTISAN","butcher","Average quality butcher","[6,7]",9,17,""
131,"The Glowing Upper","ARTISAN","cobbler","Poor quality cobbler - who repairs shoes.","[6,7]",9,17,""
132,"The Bottomless Flats","RESIDENCE","house share","Shared home",,,,""
133,"The Handsome Outfitter","ARTISAN","outfitter","Average quality outfitter","[6,7]",9,17,""
134,"The Good Lanternmaker","ARTISAN","lanternmaker","Poor quality lanternmaker","[6,7]",9,17,""
135,"The Opulent Ropemaker","ARTISAN","ropemaker","Poor quality ropemaker","[6,7]",9,17,""
136,"Rose Petal Logs","SHOP","log shop","Log shop","[6,7]",9,17,""
137,"Guild Washing","ARTISAN","launderer","Average quality laundry cleaner","[6,7]",9,17,""
138,"Ivy Cutting Co.","ARTISAN","barber","Poor quality barber","[6,7]",9,17,""
139,"Timeless Coil","ARTISAN","potter","Average quality potter","[6,7]",9,17,""
140,"The Harmonious Weaver","ARTISAN","weaver","Average quality cloth maker","[6,7]",9,17,""
141,"The Sturdy Bow General Store","SHOP","general store","General store","[6,7]",9,17,""
142,"Kralkarin's Cobbler","ARTISAN","cobbler","Average quality cobbler - who repairs shoes.","[6,7]",9,17,""
143,"The Hungry Wickerworker","ARTISAN","wickerworker","Average quality wickerworker","[6,7]",9,17,""
144,"The Radiant Potter","ARTISAN","potter","Great quality potter","[6,7]",9,17,""
145,"The Bararith Purse Maker","ARTISAN","purse maker","Average quality purse maker","[6,7]",9,17,""
146,"The Blissful Greengrocery","SHOP","greengrocer","Fruits & vegetables shop","[6,7]",9,17,""
147,"Lavish Steak","ARTISAN","butcher","Good quality butcher","[6,7]",9,17,""
148,"Glowing Groceries","SHOP","general store","General store","[6,7]",9,17,""
149,"Pristine Chest","ARTISAN","chest maker","Average quality chest maker","[6,7]",9,17,""
150,"Pristine Marble","ARTISAN","stone cutter","Average quality stone-cutter/shaper","[6,7]",9,17,""
151,"The Lustrous Stock","ARTISAN","stock","Great quality stock/stables","[6,7]",9,17,""
152,"The Fine Shoemaker","ARTISAN","shoemaker","Good quality shoemaker","[6,7]",9,17,""
153,"Masterful Pattern","ARTISAN","furrier","Average quality furrier","[6,7]",9,17,""
154,"The Sublime Miller","ARTISAN","mill","Average quality mill for grinding grain","[6,7]",9,17,""
155,"The Freanitylar Cheese maker","ARTISAN","cheese maker","Average quality cheese maker","[6,7]",9,17,""
156,"The Illuminated Tanner","ARTISAN","tanner","Good quality tanner","[6,7]",9,17,""
157,"The Cleanly Bookbinder","ARTISAN","scribe","Average quality scribe","[6,7]",9,17,""
158,"Pious Greaves","ARTISAN","armourer","Poor quality armourer","[6,7]",9,17,""
159,"The Splendid Sculptor","ARTISAN","sculptor","Sculptor","[6,7]",9,17,""
160,"Game Game","SHOP","game trader","Game trader","[6,7]",9,17,""
161,"Grandiose Hooks","SHOP","yarn shop","Yarn Shop","[6,7]",9,17,""
162,"The Expert Flats","RESIDENCE","house share","Shared home",,,,""
163,"The Angel Outdoor stage","CULTURAL","theatre","Theatre with showings throughout the day and evening","[]",14,22,""
164,"The Flawless Rogue Blacksmith","ARTISAN","blacksmith","Poor quality blacksmith","[6,7]",9,17,""
165,"The Peaceful Purse Basket-maker","ARTISAN","basket maker","Average quality basket-maker","[6,7]",9,17,""
166,"The Acclaimed Butcher","ARTISAN","butcher","Great quality butcher","[6,7]",9,17,""
167,"Melithundlin House","RESIDENCE","mansion","Lavish, guarded mansion",,,,""
168,"The Lustrous Tanner","ARTISAN","tanner","Great quality tanner","[6,7]",9,17,""
169,"Onolk's General Store","SHOP","general store","General store","[6,7]",9,17,""
170,"Metal Smithing","ARTISAN","blacksmith","Good quality blacksmith","[6,7]",9,17,""
171,"The Dwinvirrea Carder","ARTISAN","carder","Average quality carder of fibres","[6,7]",9,17,""
172,"Mardrax's Tanner","ARTISAN","tanner","Good quality tanner","[6,7]",9,17,""
173,"The Ocean Amphitheater","CULTURAL","theatre","Theatre with showings throughout the day and evening","[]",14,22,""
174,"Dazzling Bowl","ARTISAN","potter","Average quality potter","[6,7]",9,17,""
175,"Bannilylth's Wax Shop","SHOP","wax shop","Beeswax shop","[6,7]",9,17,""
176,"The Skilled Wizard Blacksmith","ARTISAN","blacksmith","Master quality blacksmith","[6,7]",9,17,""
177,"The Dazzling Game Trader","SHOP","game trader","Game trader","[6,7]",9,17,""
178,"The Hungry Weaver","ARTISAN","weaver","Average quality cloth maker","[6,7]",9,17,""
179,"The Rusgar Bookbinder","ARTISAN","scribe","Great quality scribe","[6,7]",9,17,""
180,"The Harmonious Flats","RESIDENCE","house share","Shared home",,,,""
181,"Lanterns Candles","SHOP","candle shop","Candle Shop","[6,7]",9,17,""
182,"The Shining Trimming","ARTISAN","furrier","Good quality furrier","[6,7]",9,17,""
183,"Tyrghymn's Stock","ARTISAN","stock","Good quality stock/stables","[6,7]",9,17,""
184,"Berryfern's Barber","ARTISAN","barber","Average quality barber","[6,7]",9,17,""
185,"The Skilled Tome Spinner","ARTISAN","spinner","Average quality spinner of yarn","[6,7]",9,17,""
186,"Sketchbook Parchment","SHOP","paper shop","Paper shop","[6,7]",9,17,""
187,"The Proudbairn Carpenter","ARTISAN","carpenter","Average quality carpenter","[6,7]",9,17,""
188,"The Enlarged Fiber Shop","SHOP","fiber shop","Fiber shop","[6,7]",9,17,""
189,"Chalice Cleaning","ARTISAN","launderer","Average quality laundry cleaner","[6,7]",9,17,""
190,"Dryearathem's Cheesemonger","SHOP","cheesemonger","Cheesemonger","[6,7]",9,17,""
191,"Wheat Grinding","ARTISAN","mill","Average quality mill for grinding grain","[6,7]",9,17,""
192,"The Respected Potter","ARTISAN","potter","Master quality potter","[6,7]",9,17,""
193,"The Masterful Fletcher","ARTISAN","fletcher","Average quality fletcher","[6,7]",9,17,""
194,"Willow Pastries","SHOP","pastry shop","Pastry shop","[6,7]",9,17,""
195,"The Grand Barber","ARTISAN","barber","Average quality barber","[6,7]",9,17,""
196,"Pious Baking supplies","SHOP","general store","General store","[6,7]",9,17,""
197,"The Beaming Greengrocery","SHOP","greengrocer","Fruits & vegetables shop","[6,7]",9,17,""
198,"Effeminate Porcelain","ARTISAN","potter","Good quality potter","[6,7]",9,17,""
199,"Chieftain Washing Co.","ARTISAN","launderer","Average quality laundry cleaner","[6,7]",9,17,""
200,"Axe Baking Co.","ARTISAN","baker","Great quality baker","[6,7]",9,17,""
201,"The Bright Feather","ARTISAN","hatmaker","Good quality hatmaker","[6,7]",9,17,""
202,"Maernvirrea's Artificer","ARTISAN","artificer","Poor quality artificer","[6,7]",9,17,""
203,"Monkey Healing Co.","ARTISAN","apothecary","Poor quality apothecary, selling natural herbs and remedies","[6,7]",9,17,""
204,"The Sparkling Butcher","ARTISAN","butcher","Average quality butcher","[6,7]",9,17,""
205,"The Whimsical Hopper","ARTISAN","mill","Poor quality mill for grinding grain","[6,7]",9,17,""
206,"The Patient Feather Bookbinder","ARTISAN","scribe","Average quality scribe","[6,7]",9,17,""
207,"The Ethereal Shoemaker","ARTISAN","shoemaker","Good quality shoemaker","[6,7]",9,17,""
208,"Norretlithar's Bakery","ARTISAN","baker","Poor quality baker","[6,7]",9,17,""
209,"Flukeflow's Launderer","ARTISAN","launderer","Poor quality laundry cleaner","[6,7]",9,17,""
210,"Baequirae's Game Trader","SHOP","game trader","Game trader","[6,7]",9,17,""
211,"Noakgarden's Shop","ARTISAN","mill","Average quality mill for grinding grain","[6,7]",9,17,""
212,"The Sweet Ink Maker","ARTISAN","ink maker","Good quality ink maker","[6,7]",9,17,""
213,"The Elegant Brewery","ARTISAN","brewery","Good quality brewery","[6,7]",9,17,""
214,"The Silver Mind Alchemist","ARTISAN","alchemist","Average quality alchemist, selling magical potions","[6,7]",9,17,""
215,"Scrubber Washing","ARTISAN","launderer","Average quality laundry cleaner","[6,7]",9,17,""
216,"Drazvec's Herbalist","ARTISAN","herbalist","Average quality herbalist","[6,7]",9,17,""
217,"The Sweet Butcher","ARTISAN","butcher","Master quality butcher","[6,7]",9,17,""
218,"The Dryearsithek Cobbler","ARTISAN","cobbler","Average quality cobbler - who repairs shoes.","[6,7]",9,17,""
219,"The Alluring Ropemaker","ARTISAN","ropemaker","Great quality ropemaker","[6,7]",9,17,""
220,"The Acclaimed Grain Shop","SHOP","grain shop","Grain shop","[6,7]",9,17,""
221,"Curd Making cheese","ARTISAN","cheese maker","Good quality cheese maker","[6,7]",9,17,""
222,"Wood Bookbinding","ARTISAN","bookbinder","Average quality bookbinders","[6,7]",9,17,""
223,"The Tranquil Ember Shoe shop","SHOP","shoe shop","Shoe-shop","[6,7]",9,17,""
224,"The Honorary Basket-maker","ARTISAN","basket maker","Average quality basket-maker","[6,7]",9,17,""
225,"The Quiet Bull Herbalist","ARTISAN","herbalist","Average quality herbalist","[6,7]",9,17,""
226,"The Wrinkled Cuffs","ARTISAN","furrier","Average quality furrier","[6,7]",9,17,""
227,"The Timeless Pony Spinner","ARTISAN","spinner","Good quality spinner of yarn","[6,7]",9,17,""
228,"The Effeminate Butcher","ARTISAN","butcher","Average quality butcher","[6,7]",9,17,""
229,"The Patient Woodmonger","SHOP","woodmonger","Woodmonger, which sells wood and firewood","[6,7]",9,17,""
230,"The Timeless Stonemason","ARTISAN","mason","Stonemasons","[6,7]",9,17,""
231,"The Long Distiller","ARTISAN","distillery","Good quality whisky distillery","[6,7]",9,17,""
232,"The Green Purse maker","ARTISAN","purse maker","Poor quality purse maker","[6,7]",9,17,""
233,"The Ornate Carpenter","ARTISAN","carpenter","Poor quality carpenter","[6,7]",9,17,""
234,"The Sylvetane Spinner","ARTISAN","spinner","Good quality spinner of yarn","[6,7]",9,17,""
235,"Grubbnose's Greengrocery","SHOP","greengrocer","Fruits & vegetables shop","[6,7]",9,17,""
236,"Mason Washing","ARTISAN","launderer","Average quality laundry cleaner","[6,7]",9,17,""
237,"Deeptop's Greengrocery","SHOP","greengrocer","Fruits & vegetables shop","[6,7]",9,17,""
238,"The Exceptional Dwarf Spinner","ARTISAN","spinner","Good quality spinner of yarn","[6,7]",9,17,""
239,"The Resplendent Flats","RESIDENCE","house share","Shared home",,,,""
240,"Anvil Smithing","ARTISAN","blacksmith","Average quality blacksmith","[6,7]",9,17,""
241,"The Jolly Hide","ARTISAN","leather armourer","Good quality leather worker","[6,7]",9,17,""
242,"The Vulcanream Chandler","ARTISAN","chandler","Chandler","[6,7]",9,17,""
243,"The Scintillating Shoe shop","SHOP","shoe shop","Shoe-shop","[6,7]",9,17,""
244,"The Common Stove Tattoo artist","ARTISAN","tattoo artist","Good quality tattoo artist","[6,7]",9,17,""
245,"The Elaborate Brush","ARTISAN","painter","Good quality painter","[6,7]",9,17,""
246,"The Handsome Locksmith","ARTISAN","locksmith","Locksmith","[6,7]",9,17,""
247,"The Worried Leather armourer","ARTISAN","leather armourer","Great quality leather worker","[6,7]",9,17,""
248,"The Refined Chandler","ARTISAN","chandler","Chandler","[6,7]",9,17,""
249,"The Ethereal Flats","RESIDENCE","house share","Shared home",,,,""
250,"The Exquisite Builder","ARTISAN","builder","Builder","[6,7]",9,17,""
251,"The Enlarged Hawk Glovemaker","ARTISAN","glove maker","Great quality glove maker","[6,7]",9,17,""
252,"The Aleanrae Carder","ARTISAN","carder","Average quality carder of fibres","[6,7]",9,17,""
253,"The Beanpen Painter","ARTISAN","house painter","House painter","[6,7]",9,17,""
254,"The Maernsithek Bakery","ARTISAN","baker","Average quality baker","[6,7]",9,17,""
255,"The Lavapath Residence","RESIDENCE","lower class home","Lower-class home",,,,""
256,"The Twinkling Watch","ARTISAN","jeweler","Master quality jeweler","[6,7]",9,17,""
257,"The Polished Fang Tanner","ARTISAN","tanner","Average quality tanner","[6,7]",9,17,""
258,"The Penitent Tailor","ARTISAN","rugmaker","Average quality rugmaker","[6,7]",9,17,""
259,"The Myrthitryn Herbalist","ARTISAN","herbalist","Average quality herbalist","[6,7]",9,17,""
260,"The Digner Stone Shop","SHOP","stone shop","Rough stone shop","[6,7]",9,17,""
261,"The Regal Barber","ARTISAN","barber","Good quality barber","[6,7]",9,17,""
262,"The Patient Blacksmith","ARTISAN","blacksmith","Average quality blacksmith","[6,7]",9,17,""
263,"The Common Chair","ARTISAN","carpenter","Poor quality carpenter","[6,7]",9,17,""
264,"The Twinkling Dagger Weaver","ARTISAN","weaver","Poor quality cloth maker","[6,7]",9,17,""
265,"Kralkaissa's Cheese maker","ARTISAN","cheese maker","Poor quality cheese maker","[6,7]",9,17,""
266,"The Emboldened Herbalist","ARTISAN","herbalist","Average quality herbalist","[6,7]",9,17,""
267,"Tranquil Oil","ARTISAN","lanternmaker","Master quality lanternmaker","[6,7]",9,17,""
268,"The Splendid Household items","SHOP","general store","General store","[6,7]",9,17,""
269,"The Polished Cufflinks","ARTISAN","jeweler","Average quality jeweler","[6,7]",9,17,""
270,"The Celebrated Cobbler","ARTISAN","cobbler","Average quality cobbler - who repairs shoes.","[6,7]",9,17,""
271,"Respected Pattern","ARTISAN","furrier","Good quality furrier","[6,7]",9,17,""
272,"The Pious Weft","ARTISAN","weaver","Average quality cloth maker","[6,7]",9,17,""
273,"The Honored Glove Maker","ARTISAN","glove maker","Awful quality glove maker","[6,7]",9,17,""
274,"The Sumptuous Lanternmaker","ARTISAN","lanternmaker","Poor quality lanternmaker","[6,7]",9,17,""
275,"The Superior Scribe Cartographer","ARTISAN","cartographer","Poor quality cartographer","[6,7]",9,17,""
276,"The Blissful Man Sharpener","ARTISAN","sharpener","Average quality sharpener","[6,7]",9,17,""
277,"The Lovely Curd","ARTISAN","cheese maker","Average quality cheese maker","[6,7]",9,17,""
278,"The Honored Throne Bookbinder","ARTISAN","bookbinder","Master quality bookbinders","[6,7]",9,17,""
279,"Baron Smithing Co.","ARTISAN","blacksmith","Good quality blacksmith","[6,7]",9,17,""
280,"The Rubarj Basket-maker","ARTISAN","basket maker","Good quality basket-maker","[6,7]",9,17,""
281,"The Copperfoot Weaver","ARTISAN","weaver","Average quality cloth maker","[6,7]",9,17,""
282,"The Puddifin Cobbler","ARTISAN","cobbler","Master quality cobbler - who repairs shoes.","[6,7]",9,17,""
283,"The Superior Tap","ARTISAN","brewery","Average quality brewery","[6,7]",9,17,""
284,"The Exceptional Edge","ARTISAN","sharpener","Average quality sharpener","[6,7]",9,17,""
285,"The Pious Angel Jeweler","ARTISAN","jeweler","Average quality jeweler","[6,7]",9,17,""
286,"Bouldermass' Carpenter","ARTISAN","carpenter","Average quality carpenter","[6,7]",9,17,""
287,"The Twinkling Forest Greengrocery","SHOP","greengrocer","Fruits & vegetables shop","[6,7]",9,17,""
288,"The Brimaissa Furrier","ARTISAN","furrier","Average quality furrier","[6,7]",9,17,""
289,"The Scintillating Pony Cheesemaker","ARTISAN","cheese maker","Awful quality cheese maker","[6,7]",9,17,""
290,"The Silver Fletcher","ARTISAN","fletcher","Master quality fletcher","[6,7]",9,17,""
291,"The Long Quarry","ARTISAN","stone cutter","Good quality stone-cutter/shaper","[6,7]",9,17,""
292,"The Charming General Store","SHOP","general store","General store","[6,7]",9,17,""
293,"The Timeless Leather armourer","ARTISAN","leather armourer","Master quality leather worker","[6,7]",9,17,""
294,"White Bread","SHOP","farmers market","Farmers market","[6,7]",9,17,""
295,"The Skilled Engraver","ARTISAN","engraver","Good quality engraver","[6,7]",9,17,""
296,"The Comely Frame","ARTISAN","lanternmaker","Average quality lanternmaker","[6,7]",9,17,""
297,"Paper Illustrating","ARTISAN","illustrator","Awful quality illustrators","[6,7]",9,17,""
298,"Tranquil Henna","ARTISAN","tattoo artist","Good quality tattoo artist","[6,7]",9,17,""
299,"Whore Grinding Co.","ARTISAN","mill","Average quality mill for grinding grain","[6,7]",9,17,""
300,"The Acclaimed Carpenter","ARTISAN","carpenter","Good quality carpenter","[6,7]",9,17,""
301,"Headbuck's Grain Shop","SHOP","grain shop","Grain shop","[6,7]",9,17,""
302,"Plant Animals","SHOP","farmers market","Farmers market","[6,7]",9,17,""
303,"The Artisanal Heel","SHOP","shoe shop","Shoe-shop","[6,7]",9,17,""
304,"The Glorious Dove Blacksmith","ARTISAN","blacksmith","Average quality blacksmith","[6,7]",9,17,""
305,"The Sweet Weaver","ARTISAN","weaver","Good quality cloth maker","[6,7]",9,17,""
306,"The Honorary Falcon Barber","ARTISAN","barber","Average quality barber","[6,7]",9,17,""
307,"The Polished Goblet Log Shop","SHOP","log shop","Log shop","[6,7]",9,17,""
308,"Short Casting","ARTISAN","belt maker","Average quality buckle maker","[6,7]",9,17,""
309,"The Respected Grain Shop","SHOP","grain shop","Grain shop","[6,7]",9,17,""
310,"Cotton Cotton","SHOP","fiber shop","Fiber shop","[6,7]",9,17,""
311,"The Greatwedge fiddler","ARTISAN","fiddler","Good fiddler","[6,7]",9,17,""
312,"The Supine Unicorn Game Trader","SHOP","game trader","Game trader","[6,7]",9,17,""
313,"The Radiant Mountain Used Clothes Shop","SHOP","used clothes dealer","Used clothes dealer","[6,7]",9,17,""
314,"The Emboldened Sifter","ARTISAN","mill","Good quality mill for grinding grain","[6,7]",9,17,""
